station_end,station_start,timestamp_duration,timestamp_end,timestamp_start,lat_lng_start,lat_lng_end,driving_distance,driving_predicted_duration,bicycling_distance,bicycling_predicted_duration,subway_distance,subway_predicted_duration,duration
W 100 St & Manhattan Ave,W 95 St & Broadway,3 min 28 s,2017-04-02 18:03:46,2017-04-02 18:00:18,"40.7937704,-73.971888","40.795,-73.9645",891,250,891,242,891,250,208.0
Lafayette Ave & St James Pl,Douglass St & 3 Ave,17 min 33 s,2017-04-02 12:27:21,2017-04-02 12:09:48,"40.6802133,-73.98432695","40.68851534,-73.9647628",2866,827,2270,607,2866,827,1053.0
E 11 St & 1 Ave,Hoyt St & Warren St,25 min 32 s,2017-04-01 19:52:58,2017-04-01 19:27:26,"40.6843549,-73.98901629","40.72953837,-73.98426726",8434,1368,6263,1443,8434,1368,1532.0
Court St & State St,Willoughby Ave & Hall St,16 min 24 s,2017-04-01 15:29:49,2017-04-01 15:13:25,"40.69196035,-73.96536851","40.6902375,-73.99203074",4054,967,2898,742,4054,967,984.0
Lafayette Ave & St James Pl,Bond St & Bergen St,13 min 4 s,2017-04-01 11:05:37,2017-04-01 10:52:33,"40.6849668,-73.98620772","40.68851534,-73.9647628",2850,792,2263,643,2850,792,784.0
Bond St & Bergen St,Clark St & Henry St,6 min 57 s,2017-03-31 18:38:59,2017-03-31 18:32:02,"40.69760127,-73.99344559","40.6849668,-73.98620772",2627,749,2217,487,2627,749,417.0
W 106 St & Amsterdam Ave,W 100 St & Manhattan Ave,3 min 42 s,2017-03-31 09:31:35,2017-03-31 09:27:53,"40.795,-73.9645","40.8008363,-73.9664492472",999,262,999,271,999,262,222.0
Central Park West & W 100 St,Central Park North & Adam Clayton Powell Blvd,26 min 31 s,2017-03-30 18:31:57,2017-03-30 18:05:26,"40.799484,-73.955613","40.793393,-73.9635556",1233,303,1118,305,1233,303,1591.0
Central Park West & W 100 St,W 43 St & 6 Ave,23 min 26 s,2017-03-29 20:24:40,2017-03-29 20:01:14,"40.75527307,-73.98316936","40.793393,-73.9635556",5061,1220,5130,1143,5061,1220,1406.0
W 43 St & 6 Ave,W 16 St & The High Line,14 min 37 s,2017-03-29 19:50:24,2017-03-29 19:35:47,"40.74334935,-74.00681753","40.75527307,-73.98316936",3930,1238,3244,835,3930,1238,877.0
W 34 St & 11 Ave,W 38 St & 8 Ave,6 min 44 s,2017-03-29 17:32:00,2017-03-29 17:25:16,"40.75466591,-73.99138152","40.75594159,-74.0021163",1681,524,1337,397,1681,524,404.0
W 36 St & 9 Ave,Cathedral Pkwy & Broadway,35 min 16 s,2017-03-29 17:09:42,2017-03-29 16:34:26,"40.804213,-73.96699104","40.7546232403,-73.995167613",7722,1182,6562,1393,7722,1182,2116.0
Central Park West & W 100 St,Central Park North & Adam Clayton Powell Blvd,25 min 57 s,2017-03-28 17:24:48,2017-03-28 16:58:51,"40.799484,-73.955613","40.793393,-73.9635556",1233,303,1118,305,1233,303,1557.0
Schermerhorn St & Bond St,Bond St & Bergen St,1 min 53 s,2017-03-26 23:33:21,2017-03-26 23:31:28,"40.6849668,-73.98620772","40.6884174275,-73.984516561",456,164,456,151,456,164,113.0
Bond St & Bergen St,Greenwich Ave & Charles St,25 min 58 s,2017-03-26 17:37:47,2017-03-26 17:11:49,"40.735238,-74.000271","40.6849668,-73.98620772",7153,1515,7376,1740,7153,1515,1558.0
Greenwich Ave & 8 Ave,Broadway & E 22 St,9 min 42 s,2017-03-26 13:40:14,2017-03-26 13:30:32,"40.7403432,-73.98955109","40.7390169121,-74.0026376103",1601,470,1605,400,1601,470,582.0
Central Park West & W 100 St,Central Park S & 6 Ave,11 min 23 s,2017-03-24 11:44:14,2017-03-24 11:32:51,"40.76590936,-73.97634151","40.793393,-73.9635556",3702,828,3702,855,3702,828,683.0
Central Park S & 6 Ave,E 47 St & 1 Ave,12 min 33 s,2017-03-24 11:18:40,2017-03-24 11:06:07,"40.75206862,-73.96784384","40.76590936,-73.97634151",2350,761,2352,660,2350,761,753.0
E 47 St & 1 Ave,E 60 St & York Ave,5 min 16 s,2017-03-24 10:47:43,2017-03-24 10:42:27,"40.759107,-73.959223","40.75206862,-73.96784384",1873,478,2017,469,1873,478,316.0
E 60 St & York Ave,Central Park West & W 100 St,21 min 41 s,2017-03-24 09:16:00,2017-03-24 08:54:19,"40.793393,-73.9635556","40.759107,-73.959223",5526,960,6114,1464,5526,960,1301.0
Broadway & W 60 St,Central Park West & W 100 St,13 min 10 s,2017-03-23 21:05:10,2017-03-23 20:52:00,"40.793393,-73.9635556","40.76915505,-73.98191841",3844,851,4282,967,3844,851,790.0
Central Park West & W 100 St,Central Park North & Adam Clayton Powell Blvd,29 min 28 s,2017-03-23 19:18:07,2017-03-23 18:48:39,"40.799484,-73.955613","40.793393,-73.9635556",1233,303,1118,305,1233,303,1768.0
Broadway & W 60 St,E 58 St & 3 Ave,9 min 16 s,2017-03-22 13:53:06,2017-03-22 13:43:50,"40.76095756,-73.96724467","40.76915505,-73.98191841",1832,606,1832,570,1832,606,556.0
